Credit Policy,Purpose,Interest Rate,Installments,Log Annual Income,Annual Income,Debt to Income Ratio,FICO Score,Days with Credit Line,Revolving Balance,Revolving Utilization,Inquiries Last 6 Months,Delinquencies 2 Years,Public Records,Not Fully Paid,Purpose Credit Card,Purpose Debt Consolidation,Purpose Educational,Purpose Home Improvement,Purpose Major Purchase,Purpose Small Business
1,All Other,0.0743,155.38,11.08214255,65000.00007,0.0028,802,4650,1576,0.057,1,0,0,0,0,0,0,0,0,0
1,Debt Consolidation,0.1375,255.43,9.998797732,21999.99999,0.1429,662,1319,4175,0.515,0,1,0,0,0,1,0,0,0,0
1,All Other,0.0743,155.38,12.20607265,200000.0009,0.0028,772,4517,3164,0.137,0,0,0,0,0,0,0,0,0,0
1,All Other,0.0743,155.38,12.20607265,200000.0009,0.0372,812,6779,85607,0.007,0,0,0,0,0,0,0,0,0,0
1,Debt Consolidation,0.0807,156.84,11.51292546,99999.9995,0.023,742,3149,9698,0.194,0,0,0,0,0,1,0,0,0,0
1,Credit Card,0.1028,275.38,9.798127037,18000,0.064,692,7470,8847,0.269,1,1,0,0,1,0,0,0,0,0
1,Home Improvement,0.0743,155.38,11.91839057,149999.9995,0,777,7129,6053,0.195,0,0,0,0,0,0,0,1,0,0
1,Home Improvement,0.0807,78.42,11.60823564,109999.9995,0.1133,762,6060,7274,0.131,0,0,0,0,0,0,0,1,0,0
1,Credit Card,0.087,158.3,11.22524339,74999.99981,0.1555,757,4770,66033,0.23,0,0,0,0,1,0,0,0,0,0
1,All Other,0.0743,155.38,11.46163217,94999.99994,0.0383,772,2535,3660,0.068,0,0,0,0,0,0,0,0,0,0
1,Credit Card,0.0743,155.38,11.35040654,85000.00038,0.0031,787,3540,216,0.006,0,0,0,0,1,0,0,0,0,0
1,Credit Card,0.1122,164.23,11.28978191,79999.99971,0.0121,672,3990,27185,0.161,3,0,1,0,1,0,0,0,0,0
1,Debt Consolidation,0.0996,161.25,10.77895629,48000.00001,0.0803,707,4320,28329,0.486,1,0,0,0,0,1,0,0,0,0
1,Home Improvement,0.0933,159.77,12.10071213,180000,0.1193,717,4499,60568,0.392,1,0,0,0,0,0,0,1,0,0
1,Home Improvement,0.0807,156.84,12.10071213,180000,0.0555,742,4019,40934,0.263,0,0,0,0,0,0,0,1,0,0
1,Debt Consolidation,0.0743,155.38,11.69524702,119999.9998,0.0229,777,3540,8379,0.169,0,0,0,0,0,1,0,0,0,0
1,Small Business,0.087,94.98,10.1266311,24999.9999,0.1454,752,2460,3660,0.078,1,0,0,0,0,0,0,0,0,1
1,Home Improvement,0.1028,97.2,12.20607265,200000.0009,0,677,3780,0,0,0,1,0,0,0,0,0,1,0,0
1,Credit Card,0.1122,164.23,10.30895266,29999.99998,0.1864,702,5190,15840,0.471,0,0,0,0,1,0,0,0,0,0
1,Credit Card,0.0838,167.02,11.21182037,73999.99984,0.1437,797,5611,6844,0.144,0,0,0,0,1,0,0,0,0,0
1,Educational,0.0775,168.6,8.987196821,8000.000003,0.03,762,6660,1321,0.165,0,0,0,0,0,0,1,0,0,0
1,All Other,0.0838,160.72,10.37349118,31999.99994,0.1478,772,4379,4737,0.239,0,0,0,0,0,0,0,0,0,0
1,Credit Card,0.0901,159.03,11.19821472,72999.99999,0.0996,722,3090,23489,0.376,0,0,0,0,1,0,0,0,0,0
1,Debt Consolidation,0.0743,178.69,11.73606902,125000.0005,0.0027,792,7489,2817,0.102,0,0,0,0,0,1,0,0,0,0
1,Credit Card,0.0743,155.38,10.71441777,45000.00006,0.0112,782,5807,1783,0,1,0,0,0,1,0,0,0,0,0
1,Small Business,0.1028,323.98,10.217422,27376.00011,0.107,712,1379,3534,0.544,0,0,0,0,0,0,0,0,0,1
1,Small Business,0.1059,813.65,10.77895629,48000.00001,0.0405,762,2730,2422,0.233,0,0,0,0,0,0,0,0,0,1
1,Educational,0.0996,112.87,9.510444964,13499.99999,0.1644,712,1650,2864,0.411,1,0,0,0,0,0,1,0,0,0
1,Debt Consolidation,0.1596,94.88,10.86283777,52199.9998,0.1257,627,1409,3075,0.923,1,0,0,0,0,1,0,0,0,0
1,Small Business,0.1059,398.69,11.00209984,59999.99993,0.1712,747,14009,17214,0.081,2,1,0,0,0,0,0,0,0,1
1,Credit Card,0.1154,39.6,9.903487553,20000.00001,0.0204,662,1139,1153,0.758,2,0,0,0,1,0,0,0,0,0
1,Credit Card,0.1343,678.08,11.88448902,144999.9998,0.1015,682,4210,41674,0.741,0,0,0,1,1,0,0,0,0,0
1,Credit Card,0.1249,401.37,11.22524339,74999.99981,0.15,682,4479,43039,0.934,3,0,0,0,1,0,0,0,0,0
1,All Other,0.0964,205.45,11.00209984,59999.99993,0.0772,712,2294,3362,0.693,0,0,0,0,0,0,0,0,0,0
1,Debt Consolidation,0.1186,397.75,11.08214255,65000.00007,0.0714,682,8730,11868,0.719,0,2,0,0,0,1,0,0,0,0
1,All Other,0.0743,155.38,10.59663473,39999.99988,0.0255,772,8190,2562,0.14,2,0,0,0,0,0,0,0,0,0
1,All Other,0.1028,113.39,9.903487553,20000.00001,0.015,682,1410,1882,0.324,0,0,0,0,0,0,0,0,0,0
1,Debt Consolidation,0.1186,99.44,10.49551521,36152.99994,0.0747,667,2550,1064,0.709,2,0,1,0,0,1,0,0,0,0
1,Credit Card,0.0807,109.79,11.49272276,98000.00023,0.0852,752,4980,6432,0.06,0,1,0,0,1,0,0,0,0,0
1,All Other,0.1059,32.55,10.43382164,33989.99991,0.1447,687,1110,4485,0.369,1,0,0,1,0,0,0,0,0,0
1,All Other,0.0996,112.87,11.26446411,78000.00034,0.1106,702,4980,16310,0.205,0,1,0,0,0,0,0,0,0,0
1,Debt Consolidation,0.0964,160.51,11.77528973,130000.0001,0.0855,712,5940,20969,0.402,0,0,0,0,0,1,0,0,0,0
1,Debt Consolidation,0.1375,340.57,10.46310334,34999.99998,0.1738,707,2700,22213,0.659,0,0,0,0,0,1,0,0,0,0
1,Home Improvement,0.0775,156.11,12.32385568,224999.9997,0.0648,752,5340,2160,0.023,1,0,0,0,0,0,0,1,0,0
1,Credit Card,0.0743,155.38,11.15625052,69999.99993,0.0456,812,9809,813,0.01,0,0,0,0,1,0,0,0,0,0
1,Home Improvement,0.0807,235.25,11.91839057,149999.9995,0.0272,757,5202,23678,0.244,4,0,0,0,0,0,0,1,0,0
1,Debt Consolidation,0.0996,257.99,10.77895629,48000.00001,0.1513,722,2640,11289,0.478,3,0,0,0,0,1,0,0,0,0
1,Small Business,0.1501,225.37,12.26904744,212999.999,0.0645,677,6240,56411,0.753,0,0,0,1,0,0,0,0,0,1
1,Home Improvement,0.0964,80.26,11.22524339,74999.99981,0.2,772,4921,269,0.038,3,0,0,1,0,0,0,1,0,0
1,Home Improvement,0.128,84,10.37349118,31999.99994,0.2,682,5492,3408,0.351,1,0,0,1,0,0,0,1,0,0
1,Debt Consolidation,0.1122,507.46,10.59663473,39999.99988,0.135,712,5369,6513,0.343,3,0,1,1,0,1,0,0,0,0
1,Educational,0.0743,124.31,10.59663473,39999.99988,0.0345,772,1740,330,0.11,0,0,0,0,0,0,1,0,0,0
1,Credit Card,0.087,63.32,11.15625052,69999.99993,0.0607,712,2550,5967,0.198,1,0,0,0,1,0,0,0,0,0
1,All Other,0.1091,130.79,9.798127037,18000,0.18,707,2192,5533,0.796,1,0,0,0,0,0,0,0,0,0
1,Home Improvement,0.0775,93.67,11.73606902,125000.0005,0.0214,762,8370,21050,0.01,0,0,0,0,0,0,0,1,0,0
1,All Other,0.0775,93.67,10.81977828,49999.99978,0.0535,762,8370,21050,0.007,0,0,0,0,0,0,0,0,0,0
1,All Other,0.087,88.65,11.69524702,119999.9998,0.15,742,3026,8155,0.149,1,0,0,0,0,0,0,0,0,0
1,All Other,0.0964,128.41,11.51292546,99999.9995,0.15,722,3026,8155,0.149,1,0,0,0,0,0,0,0,0,0
1,Home Improvement,0.087,94.98,11.03488966,61999.99975,0.1223,737,2730,3678,0.307,0,0,0,0,0,0,0,1,0,0
1,Debt Consolidation,0.1217,179.8,10.46310334,34999.99998,0.071,662,2944,2040,0.362,2,0,0,0,0,1,0,0,0,0
1,Credit Card,0.1533,444.05,11.00209984,59999.99993,0.1952,667,2701,33074,0.688,2,0,0,0,1,0,0,0,0,0
1,All Other,0.0775,124.89,11.03165864,61799.99979,0.0346,747,2519,1918,0.171,0,0,0,0,0,0,0,0,0,0
1,Credit Card,0.1533,644.3,11.40756495,90000.00006,0.0524,662,1770,22379,0.622,0,0,0,0,1,0,0,0,0,0
1,Small Business,0.0964,642.02,11.47210347,95999.99996,0.0286,737,2190,10296,0.425,0,0,0,1,0,0,0,0,0,1
1,Small Business,0.1154,104.76,9.61580548,15000,0.1224,672,1290,2867,0.551,3,0,0,1,0,0,0,0,0,1
1,Debt Consolidation,0.1122,157.66,10.30895266,29999.99998,0.1236,682,1770,12310,0.861,0,0,0,0,0,1,0,0,0,0
1,Debt Consolidation,0.087,383.87,11.91839057,149999.9995,0.048,767,13350,61921,0.391,0,0,0,0,0,1,0,0,0,0
1,Credit Card,0.1122,217.6,11.38509209,87999.9997,0.18,702,3725,16738,0.261,2,0,0,0,1,0,0,0,0,0
1,All Other,0.0807,297.99,11.05089001,63000.00029,0.0349,792,5939,40384,0.092,1,0,0,0,0,0,0,0,0,0
1,Debt Consolidation,0.0775,156.11,10.71441777,45000.00006,0.05,762,2131,1359,0.056,2,0,0,0,0,1,0,0,0,0
1,Debt Consolidation,0.1154,329.95,12.32385568,224999.9997,0.2,727,10292,107501,0.448,2,0,0,0,0,1,0,0,0,0
1,All Other,0.0807,313.67,12.06104687,172999.9994,0.0072,787,8010,3054,0.056,3,0,0,0,0,0,0,0,0,0
1,All Other,0.0807,297.99,11.40756495,90000.00006,0.0244,792,8718,40384,0.096,0,0,0,0,0,0,0,0,0,0
1,Home Improvement,0.0933,239.65,11.44035477,92999.9998,0.0966,792,4529,128000,0,3,0,0,0,0,0,0,1,0,0
1,Debt Consolidation,0.0712,61.87,11.6784399,117999.9996,0.0043,772,5936,4709,0.185,0,0,0,0,0,1,0,0,0,0
1,All Other,0.1186,94.47,10.71441777,45000.00006,0.028,667,5460,2850,0.75,0,1,0,0,0,0,0,0,0,0
1,Small Business,0.1501,73.68,11.47210347,95999.99996,0.1689,702,4080,51,0,0,0,0,1,0,0,0,0,0,1
1,Home Improvement,0.0807,313.67,11.91839057,149999.9995,0.0584,792,5365,37152,0.037,0,0,0,0,0,0,0,1,0,0
1,Debt Consolidation,0.0933,543.2,11.22524339,74999.99981,0.0955,762,5700,3839,0.166,1,0,0,0,0,1,0,0,0,0
1,Home Improvement,0.0807,313.67,11.35040654,85000.00038,0.0311,797,5364,37152,0.037,0,0,0,0,0,0,0,1,0,0
1,Credit Card,0.1217,266.37,11.15625052,69999.99993,0.102,672,3599,26283,0.395,0,1,0,1,1,0,0,0,0,0
1,Debt Consolidation,0.1028,210.6,10.71441777,45000.00006,0.0587,692,1742,5607,0.422,0,0,0,0,0,1,0,0,0,0
1,All Other,0.1249,234.15,10.04324949,22999.99989,0.0501,662,1110,1061,0.819,3,0,0,0,0,0,0,0,0,0
1,Debt Consolidation,0.1028,323.99,11.69524702,119999.9998,0.144,722,4680,56740,0.775,1,0,0,0,0,1,0,0,0,0
1,Credit Card,0.1059,235.96,10.95080655,57000.00018,0.0722,712,5519,40598,0.773,1,0,0,0,1,0,0,0,0,0
1,Debt Consolidation,0.1438,352.22,11.1844214,72000.00014,0.1783,687,1290,3815,0.065,1,0,0,0,0,1,0,0,0,0
1,All Other,0.0743,117.31,11.69524702,119999.9998,0,772,3930,0,0,1,0,0,0,0,0,0,0,0,0
1,Debt Consolidation,0.0712,64.96,11.60823564,109999.9995,0.0022,812,16213,50,0.003,0,0,0,0,0,1,0,0,0,0
1,Small Business,0.1565,699.69,11.42954386,92000.00037,0.0153,667,3604,4569,0.564,1,0,0,0,0,0,0,0,0,1
1,Educational,0.1059,195.27,9.852194258,19000,0.0815,692,3090,8528,0.861,0,0,0,0,0,0,1,0,0,0
1,Credit Card,0.1122,295.59,10.3859137,32399.99994,0.2215,747,2789,14345,0.458,0,0,0,0,1,0,0,0,0,0
1,Small Business,0.1122,217.59,10.81977828,49999.99978,0.1838,707,3359,113,0.024,1,0,0,0,0,0,0,0,0,1
1,Debt Consolidation,0.1375,263.09,11.03811028,62200.00008,0.098,677,3090,12231,0.81,3,0,0,1,0,1,0,0,0,0
1,Debt Consolidation,0.1467,248.43,10.95080655,57000.00018,0.2076,667,3750,13552,0.691,0,1,0,0,0,1,0,0,0,0
1,Credit Card,0.1028,194.4,11.37710574,87299.99984,0.106,692,2490,16813,0.639,0,0,0,0,1,0,0,0,0,0
1,Debt Consolidation,0.1249,301.04,10.57131693,39000.00019,0.0508,667,3690,26233,0.629,3,0,1,1,0,1,0,0,0,0
1,All Other,0.0743,163.92,11.35040654,85000.00038,0.0264,782,9210,5760,0.16,0,0,0,0,0,0,0,0,0,0
1,All Other,0.1028,150.66,10.727663,45600.00021,0.0326,687,6510,105,0.35,1,1,0,1,0,0,0,0,0,0
1,Debt Consolidation,0.1122,217.59,10.9525594,57100.00025,0.1377,682,2160,11490,0.957,0,0,0,0,0,1,0,0,0,0
1,Home Improvement,0.1312,85.23,10.59663473,39999.99988,0.2067,692,5250,17641,0.305,3,1,0,0,0,0,0,1,0,0
1,All Other,0.1122,328.43,10.30895266,29999.99998,0.204,742,3270,0,0,3,0,0,0,0,0,0,0,0,0
1,All Other,0.0807,165.47,10.91508846,54999.99977,0.12,797,8790,12430,0.192,1,0,0,0,0,0,0,0,0,0
1,Debt Consolidation,0.1091,140.6,10.49127422,36000.00009,0.0987,707,1560,12323,0.44,0,0,0,0,0,1,0,0,0,0
1,All Other,0.1028,98.01,11.40756495,90000.00006,0.0913,697,3300,38624,0.978,0,0,0,0,0,0,0,0,0,0
1,Small Business,0.1217,166.48,9.210340372,10000,0,662,2250,875,0.547,2,1,0,1,0,0,0,0,0,1
1,Small Business,0.1249,284.32,11.35040654,85000.00038,0.0638,667,7230,1196,0.12,3,4,0,0,0,0,0,0,0,1
1,Small Business,0.1438,194.15,13.08154138,479999.9986,0.024,697,2760,26628,0.604,3,1,0,0,0,0,0,0,0,1
1,All Other,0.1028,138.51,10.34174248,30999.99989,0.2481,767,5790,6752,0.246,2,0,0,0,0,0,0,0,0,0
1,Debt Consolidation,0.1249,70.25,9.433483923,12500,0.144,662,1469,458,0.916,1,0,0,1,0,1,0,0,0,0
1,Credit Card,0.0838,252.1,11.56171563,105000.0001,0.0971,752,3509,16786,0.447,0,0,0,0,1,0,0,0,0,0
1,All Other,0.0901,263.19,11.69524702,119999.9998,0.1216,742,9720,7336,0.299,0,0,0,0,0,0,0,0,0,0
1,All Other,0.0933,104.65,11.03488966,61999.99975,0.0383,702,3690,7089,0.419,1,0,0,0,0,0,0,0,0,0
1,Debt Consolidation,0.0807,172.53,10.89673933,54000.00024,0.0629,742,5100,18388,0.689,0,0,0,0,0,1,0,0,0,0
1,Credit Card,0.0996,38.7,10.37349118,31999.99994,0.0113,677,1920,613,0.766,2,0,0,0,1,0,0,0,0,0
1,Educational,0.1249,100.35,10.2791805,29119.99993,0.1277,662,1110,566,0.515,3,1,0,1,0,0,1,0,0,0
1,Debt Consolidation,0.128,335.98,10.50232405,36399.99987,0.1892,682,2219,9166,0.504,1,0,0,0,0,1,0,0,0,0
1,All Other,0.1091,163.49,10.57131693,39000.00019,0.1178,707,4889,5406,0.334,0,0,1,1,0,0,0,0,0,0
1,All Other,0.0996,32.25,10.46310334,34999.99998,0.0583,687,2159,1188,0.03,2,0,0,1,0,0,0,0,0,0
1,Educational,0.0996,96.75,9.798127037,18000,0.154,707,11249,12003,0.404,1,0,0,0,0,0,1,0,0,0
1,All Other,0.1059,72.42,11.00209984,59999.99993,0.0814,707,4800,20511,0.62,1,0,0,1,0,0,0,0,0,0
1,Small Business,0.0964,90.68,11.15625052,69999.99993,0.18,732,3691,55720,0.1,2,0,0,0,0,0,0,0,0,1
1,All Other,0.0807,259.58,10.79957558,49000.00014,0.0989,772,9870,7744,0.171,0,0,0,0,0,0,0,0,0,0
1,All Other,0.0964,169.32,11.15625052,69999.99993,0.1757,737,5430,51761,0.38,1,0,0,0,0,0,0,0,0,0
1,Credit Card,0.1154,205.4,10.71441777,45000.00006,0.1776,717,1500,579,0.232,0,0,0,0,1,0,0,0,0,0
1,Debt Consolidation,0.1312,162.01,11.35040654,85000.00038,0.1687,707,9060,34776,0.543,0,0,0,1,0,1,0,0,0,0
1,Debt Consolidation,0.1028,226.8,10.92233487,55399.99985,0.1005,692,1890,8047,0.338,0,0,0,0,0,1,0,0,0,0
1,All Other,0.1059,162.73,9.61580548,15000,0.244,737,3210,0,0,3,0,0,0,0,0,0,0,0,0
1,Debt Consolidation,0.1154,158.38,10.1266311,24999.9999,0.1819,672,2586,409,0.818,0,1,0,0,0,1,0,0,0,0
1,Small Business,0.0901,795.11,10.95080655,57000.00018,0.0893,822,9697,185,0.005,0,0,0,0,0,0,0,0,0,1
1,Debt Consolidation,0.0996,158.83,11.33857208,84000.00018,0.0484,727,6330,48251,0.501,2,0,0,0,0,1,0,0,0,0
1,All Other,0.1028,97.2,10.54534144,38000.00005,0.1993,687,2580,772,0.965,0,0,0,0,0,0,0,0,0,0
1,Debt Consolidation,0.1154,263.97,10.81977828,49999.99978,0.0804,672,3089,1019,0.045,1,1,0,0,0,1,0,0,0,0
1,Small Business,0.1091,404.62,10.75177778,46713.00012,0.1639,692,5640,8332,0.399,2,0,0,0,0,0,0,0,0,1
1,All Other,0.0775,307.53,11.15625052,69999.99993,0.0909,797,6090,1790,0.045,1,0,0,0,0,0,0,0,0,0
1,Debt Consolidation,0.128,839.95,11.22524339,74999.99981,0.2485,722,6330,62739,0.747,3,0,0,1,0,1,0,0,0,0
1,All Other,0.1059,269.31,11.59910316,108999.9999,0.2401,767,4666,29901,0.712,2,0,0,1,0,0,0,0,0,0
1,Debt Consolidation,0.1186,265.18,10.858999,52000.00013,0.1131,667,1560,5867,0.743,1,0,0,0,0,1,0,0,0,0
1,Home Improvement,0.0964,802.47,11.26446411,78000.00034,0.008,732,2130,10605,0.221,1,0,0,0,0,0,0,1,0,0
1,Debt Consolidation,0.1091,505.16,11.69524702,119999.9998,0.1697,697,9659,57196,0.445,3,0,0,1,0,1,0,0,0,0
1,Home Improvement,0.0901,318.05,12.52452638,275000.0009,0.0297,712,4919,481,0.802,2,0,0,1,0,0,0,1,0,0
1,Educational,0.0838,315.12,10.30895266,29999.99998,0.042,737,1560,2282,0.19,1,0,0,0,0,0,1,0,0,0
1,All Other,0.1091,130.79,9.574983486,14400.00001,0.0892,672,1140,3614,0.613,1,0,0,0,0,0,0,0,0,0
1,Debt Consolidation,0.1059,227.82,11.05879518,63499.99969,0.085,682,6840,14930,0.79,1,0,1,0,0,1,0,0,0,0
1,Credit Card,0.0996,643.36,11.66134547,116000,0.1307,727,10530,33989,0.829,0,0,0,0,1,0,0,0,0,0
1,All Other,0.147,51.78,10.1266311,24999.9999,0.0384,632,1530,1238,0.619,1,1,0,0,0,0,0,0,0,0
1,Educational,0.0901,572.48,10.62132735,41000.00018,0.1537,747,7500,4746,0.185,2,0,0,0,0,0,1,0,0,0
1,All Other,0.0775,149.87,9.952277717,21000.00001,0.0634,752,3029,3470,0.255,0,0,0,0,0,0,0,0,0,0
1,All Other,0.0996,96.75,11.03488966,61999.99975,0.1198,682,1799,12640,0.832,0,0,0,0,0,0,0,0,0,0
1,Home Improvement,0.0712,92.8,11.44035477,92999.9998,0,812,8250,368,0.012,0,0,0,0,0,0,0,1,0,0
1,Credit Card,0.1091,192.09,11.09741002,65999.99993,0.1982,677,4290,30597,0.895,1,1,0,0,1,0,0,0,0,0
1,All Other,0.1154,593.92,10.20359214,26999.99987,0.108,682,5050,8537,0.755,0,0,0,0,0,0,0,0,0,0
1,Debt Consolidation,0.1091,392.36,10.46310334,34999.99998,0.1574,692,1500,15649,0.545,2,0,0,0,0,1,0,0,0,0
1,Educational,0.0775,156.11,10.858999,52000.00013,0.0955,767,12960,4067,0.073,0,0,0,0,0,0,1,0,0,0
1,Debt Consolidation,0.1028,155.52,10.46310334,34999.99998,0.0751,687,2795,5836,0.687,0,0,1,0,0,1,0,0,0,0
1,Credit Card,0.1028,485.99,11.38509209,87999.9997,0.1195,702,5070,24615,0.947,0,0,0,0,1,0,0,0,0,0
1,All Other,0.1028,116.64,10.30895266,29999.99998,0.0788,687,5130,7600,0.717,0,0,1,0,0,0,0,0,0,0
1,Debt Consolidation,0.1122,223.34,10.83958091,50999.99991,0.1868,682,1889,9495,0.879,2,0,0,1,0,1,0,0,0,0
1,Credit Card,0.0775,149.87,9.903487553,20000.00001,0.1026,757,6330,4921,0.304,0,0,0,0,1,0,0,0,0,0
1,Educational,0.1154,211.17,11.46163217,94999.99994,0.0183,667,3421,11200,0.232,1,0,0,0,0,0,1,0,0,0
1,Debt Consolidation,0.0743,186.45,11.13730067,68685.9998,0.0611,777,7440,2444,0.056,3,0,0,0,0,1,0,0,0,0
1,Debt Consolidation,0.0933,790.86,11.00209984,59999.99993,0.0082,767,2100,916,0.068,0,0,0,0,0,1,0,0,0,0
1,Small Business,0.0901,795.11,13.33100224,615999.9985,0.0383,782,3660,148829,0.066,5,0,0,1,0,0,0,0,0,1
1,Credit Card,0.087,126.65,10.69194491,43999.99987,0.1871,747,3630,3209,0.126,0,0,0,0,1,0,0,0,0,0
1,Credit Card,0.1091,294.27,11.28978191,79999.99971,0.1717,677,3840,7570,0.823,0,0,0,0,1,0,0,0,0,0
1,Debt Consolidation,0.1091,404.62,11.28978191,79999.99971,0.0923,687,2519,13126,0.965,0,0,1,0,0,1,0,0,0,0
1,Debt Consolidation,0.1186,397.77,11.91839057,149999.9995,0.2048,687,4452,66654,0.516,1,0,0,0,0,1,0,0,0,0
1,Debt Consolidation,0.0743,178.68,11.46163217,94999.99994,0.012,812,16259,50,0.003,0,0,0,0,0,1,0,0,0,0
1,Educational,0.1028,29.16,9.392661929,12000,0.167,687,2069,3084,0.656,3,0,0,1,0,0,1,0,0,0
1,Small Business,0.0996,417.62,11.42954386,92000.00037,0.0648,712,5610,2598,0.238,1,0,0,0,0,0,0,0,0,1
1,Credit Card,0.1059,130.18,11.03488966,61999.99975,0.1781,682,6330,18168,0.685,2,0,0,0,1,0,0,0,0,0
1,All Other,0.1122,98.53,10.40134951,32904,0.2279,682,9389,24218,0.853,2,0,0,0,0,0,0,0,0,0
1,All Other,0.0807,15.69,9.798127037,18000,0.0427,722,1470,0,0,0,0,0,0,0,0,0,0,0,0
1,Credit Card,0.1091,523.14,12.20607265,200000.0009,0.107,697,7320,72303,0.737,1,0,0,0,1,0,0,0,0,0
1,All Other,0.087,557.23,11.9381932,152999.9999,0.0012,757,1128,1032,0.05,0,0,0,0,0,0,0,0,0,0
1,All Other,0.1122,315.3,10.65725935,42499.99979,0.146,677,3630,133,0.042,1,0,0,0,0,0,0,0,0,0
1,Debt Consolidation,0.1154,527.93,10.70099475,44400.00007,0.1216,682,2130,34023,0.577,1,2,0,1,0,1,0,0,0,0
1,Major Purchase,0.0743,93.23,11.1844214,72000.00014,0.1118,757,4500,12430,0.296,5,0,0,0,0,0,0,0,1,0
1,Debt Consolidation,0.0775,202.94,10.77895629,48000.00001,0.1353,787,10260,10742,0.089,3,0,0,0,0,1,0,0,0,0
1,Debt Consolidation,0.1186,165.74,10.59663473,39999.99988,0.0702,667,2789,2197,0.758,0,2,0,1,0,1,0,0,0,0
1,All Other,0.1028,158.76,10.69194491,43999.99987,0.153,692,4410,88,0.238,1,3,0,1,0,0,0,0,0,0
1,Debt Consolidation,0.1028,485.99,10.81977828,49999.99978,0.1188,702,7020,13867,0.337,0,0,0,0,0,1,0,0,0,0
1,All Other,0.0996,322.49,11.19134184,72499.99994,0.1028,702,4920,3943,0.986,3,0,0,1,0,0,0,0,0,0
