Credit Policy,Purpose,Interest Rate,Installments,Log Annual Income,Annual Income,Debt to Income Ratio,FICO Score,FICO Score Bucket,Days with Credit Line,Revolving Balance,Revolving Utilization,Inquiries Last 6 Months,Delinquencies 2 Years,Public Records,Not Fully Paid,,,,
1,All Other,9.64%,$128.41,11.51292546,"$100,000.00",15.00%,722,701-750,3026,"$8,155.00",14.90%,1,0,0,0,,,,
1,Home Improvement,8.70%,$94.98,11.03488966,"$62,000.00",12.23%,737,701-750,2730,"$3,678.00",30.70%,0,0,0,0,,,,
1,Debt Consolidation,12.17%,$179.80,10.46310334,"$35,000.00",7.10%,662,651-700,2944,"$2,040.00",36.20%,2,0,0,0,,,,
1,Credit Card,15.33%,$444.05,11.00209984,"$60,000.00",19.52%,667,651-700,2701,"$33,074.00",68.80%,2,0,0,0,,,,
1,All Other,7.75%,$124.89,11.03165864,"$61,800.00",3.46%,747,701-750,2519,"$1,918.00",17.10%,0,0,0,0,,,,
1,Credit Card,15.33%,$644.30,11.40756495,"$90,000.00",5.24%,662,651-700,1770,"$22,379.00",62.20%,0,0,0,0,,,,
1,Small Business,9.64%,$642.02,11.47210347,"$96,000.00",2.86%,737,701-750,2190,"$10,296.00",42.50%,0,0,0,1,,,,
1,Small Business,11.54%,$104.76,9.61580548,"$15,000.00",12.24%,672,651-700,1290,"$2,867.00",55.10%,3,0,0,1,,,,
1,Debt Consolidation,11.22%,$157.66,10.30895266,"$30,000.00",12.36%,682,651-700,1770,"$12,310.00",86.10%,0,0,0,0,,,,
1,Debt Consolidation,8.70%,$383.87,11.91839057,"$150,000.00",4.80%,767,751-800,13350,"$61,921.00",39.10%,0,0,0,0,,,,
1,Credit Card,11.22%,$217.60,11.38509209,"$88,000.00",18.00%,702,701-750,3725,"$16,738.00",26.10%,2,0,0,0,,,,
1,All Other,8.07%,$297.99,11.05089001,"$63,000.00",3.49%,792,751-800,5939,"$40,384.00",9.20%,1,0,0,0,,,,
1,Debt Consolidation,7.75%,$156.11,10.71441777,"$45,000.00",5.00%,762,751-800,2131,"$1,359.00",5.60%,2,0,0,0,,,,
1,Debt Consolidation,11.54%,$329.95,12.32385568,"$225,000.00",20.00%,727,701-750,10292,"$107,501.00",44.80%,2,0,0,0,,,,
1,All Other,8.07%,$313.67,12.06104687,"$173,000.00",0.72%,787,751-800,8010,"$3,054.00",5.60%,3,0,0,0,,,,
1,All Other,8.07%,$297.99,11.40756495,"$90,000.00",2.44%,792,751-800,8718,"$40,384.00",9.60%,0,0,0,0,,,,
1,Home Improvement,9.33%,$239.65,11.44035477,"$93,000.00",9.66%,792,751-800,4529,"$128,000.00",0.00%,3,0,0,0,,,,
1,Debt Consolidation,7.12%,$61.87,11.6784399,"$118,000.00",0.43%,772,751-800,5936,"$4,709.00",18.50%,0,0,0,0,,,,
1,All Other,11.86%,$94.47,10.71441777,"$45,000.00",2.80%,667,651-700,5460,"$2,850.00",75.00%,0,1,0,0,,,,
1,Small Business,15.01%,$73.68,11.47210347,"$96,000.00",16.89%,702,701-750,4080,$51.00,0.00%,0,0,0,1,,,,
1,Home Improvement,8.07%,$313.67,11.91839057,"$150,000.00",5.84%,792,751-800,5365,"$37,152.00",3.70%,0,0,0,0,,,,
1,Debt Consolidation,9.33%,$543.20,11.22524339,"$75,000.00",9.55%,762,751-800,5700,"$3,839.00",16.60%,1,0,0,0,,,,
1,Home Improvement,8.07%,$313.67,11.35040654,"$85,000.00",3.11%,797,751-800,5364,"$37,152.00",3.70%,0,0,0,0,,,,
1,Credit Card,12.17%,$266.37,11.15625052,"$70,000.00",10.20%,672,651-700,3599,"$26,283.00",39.50%,0,1,0,1,,,,
1,Debt Consolidation,10.28%,$210.60,10.71441777,"$45,000.00",5.87%,692,651-700,1742,"$5,607.00",42.20%,0,0,0,0,,,,
1,All Other,12.49%,$234.15,10.04324949,"$23,000.00",5.01%,662,651-700,1110,"$1,061.00",81.90%,3,0,0,0,,,,
1,Debt Consolidation,10.28%,$323.99,11.69524702,"$120,000.00",14.40%,722,701-750,4680,"$56,740.00",77.50%,1,0,0,0,,,,
1,Credit Card,10.59%,$235.96,10.95080655,"$57,000.00",7.22%,712,701-750,5519,"$40,598.00",77.30%,1,0,0,0,,,,
1,Debt Consolidation,14.38%,$352.22,11.1844214,"$72,000.00",17.83%,687,651-700,1290,"$3,815.00",6.50%,1,0,0,0,,,,
1,All Other,7.43%,$117.31,11.69524702,"$120,000.00",0.00%,772,751-800,3930,$0.00,0.00%,1,0,0,0,,,,
1,Debt Consolidation,7.12%,$64.96,11.60823564,"$110,000.00",0.22%,812,801-850,16213,$50.00,0.30%,0,0,0,0,,,,
1,Small Business,15.65%,$699.69,11.42954386,"$92,000.00",1.53%,667,651-700,3604,"$4,569.00",56.40%,1,0,0,0,,,,
1,Educational,10.59%,$195.27,9.852194258,"$19,000.00",8.15%,692,651-700,3090,"$8,528.00",86.10%,0,0,0,0,,,,
1,Credit Card,11.22%,$295.59,10.3859137,"$32,400.00",22.15%,747,701-750,2789,"$14,345.00",45.80%,0,0,0,0,,,,
1,Small Business,11.22%,$217.59,10.81977828,"$50,000.00",18.38%,707,701-750,3359,$113.00,2.40%,1,0,0,0,,,,
1,Debt Consolidation,13.75%,$263.09,11.03811028,"$62,200.00",9.80%,677,651-700,3090,"$12,231.00",81.00%,3,0,0,1,,,,
1,Debt Consolidation,14.67%,$248.43,10.95080655,"$57,000.00",20.76%,667,651-700,3750,"$13,552.00",69.10%,0,1,0,0,,,,
1,Credit Card,10.28%,$194.40,11.37710574,"$87,300.00",10.60%,692,651-700,2490,"$16,813.00",63.90%,0,0,0,0,,,,
1,Debt Consolidation,12.49%,$301.04,10.57131693,"$39,000.00",5.08%,667,651-700,3690,"$26,233.00",62.90%,3,0,1,1,,,,
1,All Other,7.43%,$163.92,11.35040654,"$85,000.00",2.64%,782,751-800,9210,"$5,760.00",16.00%,0,0,0,0,,,,
1,All Other,10.28%,$150.66,10.727663,"$45,600.00",3.26%,687,651-700,6510,$105.00,35.00%,1,1,0,1,,,,
1,Debt Consolidation,11.22%,$217.59,10.9525594,"$57,100.00",13.77%,682,651-700,2160,"$11,490.00",95.70%,0,0,0,0,,,,
1,Home Improvement,13.12%,$85.23,10.59663473,"$40,000.00",20.67%,692,651-700,5250,"$17,641.00",30.50%,3,1,0,0,,,,
1,All Other,11.22%,$328.43,10.30895266,"$30,000.00",20.40%,742,701-750,3270,$0.00,0.00%,3,0,0,0,,,,
1,All Other,8.07%,$165.47,10.91508846,"$55,000.00",12.00%,797,751-800,8790,"$12,430.00",19.20%,1,0,0,0,,,,
1,Debt Consolidation,10.91%,$140.60,10.49127422,"$36,000.00",9.87%,707,701-750,1560,"$12,323.00",44.00%,0,0,0,0,,,,
1,All Other,10.28%,$98.01,11.40756495,"$90,000.00",9.13%,697,651-700,3300,"$38,624.00",97.80%,0,0,0,0,,,,
1,Small Business,12.17%,$166.48,9.210340372,"$10,000.00",0.00%,662,651-700,2250,$875.00,54.70%,2,1,0,1,,,,
1,Small Business,12.49%,$284.32,11.35040654,"$85,000.00",6.38%,667,651-700,7230,"$1,196.00",12.00%,3,4,0,0,,,,
1,Small Business,14.38%,$194.15,13.08154138,"$480,000.00",2.40%,697,651-700,2760,"$26,628.00",60.40%,3,1,0,0,,,,
1,All Other,10.28%,$138.51,10.34174248,"$31,000.00",24.81%,767,751-800,5790,"$6,752.00",24.60%,2,0,0,0,,,,
1,Debt Consolidation,12.49%,$70.25,9.433483923,"$12,500.00",14.40%,662,651-700,1469,$458.00,91.60%,1,0,0,1,,,,
1,Credit Card,8.38%,$252.10,11.56171563,"$105,000.00",9.71%,752,751-800,3509,"$16,786.00",44.70%,0,0,0,0,,,,
1,All Other,9.01%,$263.19,11.69524702,"$120,000.00",12.16%,742,701-750,9720,"$7,336.00",29.90%,0,0,0,0,,,,
1,All Other,9.33%,$104.65,11.03488966,"$62,000.00",3.83%,702,701-750,3690,"$7,089.00",41.90%,1,0,0,0,,,,
1,Debt Consolidation,8.07%,$172.53,10.89673933,"$54,000.00",6.29%,742,701-750,5100,"$18,388.00",68.90%,0,0,0,0,,,,
1,Credit Card,9.96%,$38.70,10.37349118,"$32,000.00",1.13%,677,651-700,1920,$613.00,76.60%,2,0,0,0,,,,
1,Educational,12.49%,$100.35,10.2791805,"$29,120.00",12.77%,662,651-700,1110,$566.00,51.50%,3,1,0,1,,,,
1,Debt Consolidation,12.80%,$335.98,10.50232405,"$36,400.00",18.92%,682,651-700,2219,"$9,166.00",50.40%,1,0,0,0,,,,
1,All Other,10.91%,$163.49,10.57131693,"$39,000.00",11.78%,707,701-750,4889,"$5,406.00",33.40%,0,0,1,1,,,,
1,All Other,9.96%,$32.25,10.46310334,"$35,000.00",5.83%,687,651-700,2159,"$1,188.00",3.00%,2,0,0,1,,,,
1,Educational,9.96%,$96.75,9.798127037,"$18,000.00",15.40%,707,701-750,11249,"$12,003.00",40.40%,1,0,0,0,,,,
1,All Other,10.59%,$72.42,11.00209984,"$60,000.00",8.14%,707,701-750,4800,"$20,511.00",62.00%,1,0,0,1,,,,
1,Small Business,9.64%,$90.68,11.15625052,"$70,000.00",18.00%,732,701-750,3691,"$55,720.00",10.00%,2,0,0,0,,,,
1,All Other,8.07%,$259.58,10.79957558,"$49,000.00",9.89%,772,751-800,9870,"$7,744.00",17.10%,0,0,0,0,,,,
1,All Other,9.64%,$169.32,11.15625052,"$70,000.00",17.57%,737,701-750,5430,"$51,761.00",38.00%,1,0,0,0,,,,
1,Credit Card,11.54%,$205.40,10.71441777,"$45,000.00",17.76%,717,701-750,1500,$579.00,23.20%,0,0,0,0,,,,
1,Debt Consolidation,13.12%,$162.01,11.35040654,"$85,000.00",16.87%,707,701-750,9060,"$34,776.00",54.30%,0,0,0,1,,,,
1,Debt Consolidation,10.28%,$226.80,10.92233487,"$55,400.00",10.05%,692,651-700,1890,"$8,047.00",33.80%,0,0,0,0,,,,
1,All Other,10.59%,$162.73,9.61580548,"$15,000.00",24.40%,737,701-750,3210,$0.00,0.00%,3,0,0,0,,,,
1,Debt Consolidation,11.54%,$158.38,10.1266311,"$25,000.00",18.19%,672,651-700,2586,$409.00,81.80%,0,1,0,0,,,,
1,Small Business,9.01%,$795.11,10.95080655,"$57,000.00",8.93%,822,801-850,9697,$185.00,0.50%,0,0,0,0,,,,
1,Debt Consolidation,9.96%,$158.83,11.33857208,"$84,000.00",4.84%,727,701-750,6330,"$48,251.00",50.10%,2,0,0,0,,,,
1,All Other,10.28%,$97.20,10.54534144,"$38,000.00",19.93%,687,651-700,2580,$772.00,96.50%,0,0,0,0,,,,
1,Debt Consolidation,11.54%,$263.97,10.81977828,"$50,000.00",8.04%,672,651-700,3089,"$1,019.00",4.50%,1,1,0,0,,,,
1,Small Business,10.91%,$404.62,10.75177778,"$46,713.00",16.39%,692,651-700,5640,"$8,332.00",39.90%,2,0,0,0,,,,
1,All Other,7.75%,$307.53,11.15625052,"$70,000.00",9.09%,797,751-800,6090,"$1,790.00",4.50%,1,0,0,0,,,,
1,Debt Consolidation,12.80%,$839.95,11.22524339,"$75,000.00",24.85%,722,701-750,6330,"$62,739.00",74.70%,3,0,0,1,,,,
1,All Other,10.59%,$269.31,11.59910316,"$109,000.00",24.01%,767,751-800,4666,"$29,901.00",71.20%,2,0,0,1,,,,
1,Debt Consolidation,11.86%,$265.18,10.858999,"$52,000.00",11.31%,667,651-700,1560,"$5,867.00",74.30%,1,0,0,0,,,,
1,Home Improvement,9.64%,$802.47,11.26446411,"$78,000.00",0.80%,732,701-750,2130,"$10,605.00",22.10%,1,0,0,0,,,,
1,Debt Consolidation,10.91%,$505.16,11.69524702,"$120,000.00",16.97%,697,651-700,9659,"$57,196.00",44.50%,3,0,0,1,,,,
1,Home Improvement,9.01%,$318.05,12.52452638,"$275,000.00",2.97%,712,701-750,4919,$481.00,80.20%,2,0,0,1,,,,
1,Educational,8.38%,$315.12,10.30895266,"$30,000.00",4.20%,737,701-750,1560,"$2,282.00",19.00%,1,0,0,0,,,,
1,All Other,10.91%,$130.79,9.574983486,"$14,400.00",8.92%,672,651-700,1140,"$3,614.00",61.30%,1,0,0,0,,,,
1,Debt Consolidation,10.59%,$227.82,11.05879518,"$63,500.00",8.50%,682,651-700,6840,"$14,930.00",79.00%,1,0,1,0,,,,
1,Credit Card,9.96%,$643.36,11.66134547,"$116,000.00",13.07%,727,701-750,10530,"$33,989.00",82.90%,0,0,0,0,,,,
1,All Other,14.70%,$51.78,10.1266311,"$25,000.00",3.84%,632,600-650,1530,"$1,238.00",61.90%,1,1,0,0,,,,
1,Educational,9.01%,$572.48,10.62132735,"$41,000.00",15.37%,747,701-750,7500,"$4,746.00",18.50%,2,0,0,0,,,,
1,All Other,7.75%,$149.87,9.952277717,"$21,000.00",6.34%,752,751-800,3029,"$3,470.00",25.50%,0,0,0,0,,,,
1,All Other,9.96%,$96.75,11.03488966,"$62,000.00",11.98%,682,651-700,1799,"$12,640.00",83.20%,0,0,0,0,,,,
1,Home Improvement,7.12%,$92.80,11.44035477,"$93,000.00",0.00%,812,801-850,8250,$368.00,1.20%,0,0,0,0,,,,
1,Credit Card,10.91%,$192.09,11.09741002,"$66,000.00",19.82%,677,651-700,4290,"$30,597.00",89.50%,1,1,0,0,,,,
1,All Other,11.54%,$593.92,10.20359214,"$27,000.00",10.80%,682,651-700,5050,"$8,537.00",75.50%,0,0,0,0,,,,
1,Debt Consolidation,10.91%,$392.36,10.46310334,"$35,000.00",15.74%,692,651-700,1500,"$15,649.00",54.50%,2,0,0,0,,,,
1,Educational,7.75%,$156.11,10.858999,"$52,000.00",9.55%,767,751-800,12960,"$4,067.00",7.30%,0,0,0,0,,,,
1,Debt Consolidation,10.28%,$155.52,10.46310334,"$35,000.00",7.51%,687,651-700,2795,"$5,836.00",68.70%,0,0,1,0,,,,
1,Credit Card,10.28%,$485.99,11.38509209,"$88,000.00",11.95%,702,701-750,5070,"$24,615.00",94.70%,0,0,0,0,,,,
1,All Other,10.28%,$116.64,10.30895266,"$30,000.00",7.88%,687,651-700,5130,"$7,600.00",71.70%,0,0,1,0,,,,
1,Debt Consolidation,11.22%,$223.34,10.83958091,"$51,000.00",18.68%,682,651-700,1889,"$9,495.00",87.90%,2,0,0,1,,,,
1,Credit Card,7.75%,$149.87,9.903487553,"$20,000.00",10.26%,757,751-800,6330,"$4,921.00",30.40%,0,0,0,0,,,,
1,Educational,11.54%,$211.17,11.46163217,"$95,000.00",1.83%,667,651-700,3421,"$11,200.00",23.20%,1,0,0,0,,,,
1,Debt Consolidation,7.43%,$186.45,11.13730067,"$68,686.00",6.11%,777,751-800,7440,"$2,444.00",5.60%,3,0,0,0,,,,
1,Debt Consolidation,9.33%,$790.86,11.00209984,"$60,000.00",0.82%,767,751-800,2100,$916.00,6.80%,0,0,0,0,,,,
1,Small Business,9.01%,$795.11,13.33100224,"$616,000.00",3.83%,782,751-800,3660,"$148,829.00",6.60%,5,0,0,1,,,,
1,Credit Card,8.70%,$126.65,10.69194491,"$44,000.00",18.71%,747,701-750,3630,"$3,209.00",12.60%,0,0,0,0,,,,
1,Credit Card,10.91%,$294.27,11.28978191,"$80,000.00",17.17%,677,651-700,3840,"$7,570.00",82.30%,0,0,0,0,,,,
1,Debt Consolidation,10.91%,$404.62,11.28978191,"$80,000.00",9.23%,687,651-700,2519,"$13,126.00",96.50%,0,0,1,0,,,,
1,Debt Consolidation,11.86%,$397.77,11.91839057,"$150,000.00",20.48%,687,651-700,4452,"$66,654.00",51.60%,1,0,0,0,,,,
1,Debt Consolidation,7.43%,$178.68,11.46163217,"$95,000.00",1.20%,812,801-850,16259,$50.00,0.30%,0,0,0,0,,,,
